Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
03/10/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;10;0;0;0;0;0;Contato ativo através de likes em fotos;;
03/11/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;0;0;1;0;0;Identificada uma mulher trans de 38 e encaminhada para o Estudo Combina;;
03/12/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;17;2;2;2;0;0;Duas pessoas responderam o contato ativo, porém ambas fora do perfil do projeto (mais velhas0 ;;
03/15/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;1;1;12;0;1;1;0;0;Uma mulher trans, também de 38 identificada em Itaquera e encaminhada para o Estudo Combina.;;
03/16/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
03/17/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;15;0;1;1;1;0;;;
03/18/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;1;1;1;0;0;;;
03/19/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;3;0;0;0;0;0;;;
03/22/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;8;0;0;0;0;0;;;
03/23/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
03/24/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;6;1;1;1;0;0;;;
03/25/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;4;0;0;3;0;0;;;
04/08/2021;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;2;2;8;1;3;1;0;0;Contato receptivo de um gay cis de 31 anos. Encaminhado para o Estudo combina e para ferramentas do SUS;;
04/09/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;2;0;0;0;0;0;;;
04/12/2021;Instagram;10:30:00 AM;03:00:00 PM;04:30:00 AM;GSP;;1;1;4;0;1;2;0;0;Uma pessoa trans não-binária que trabalha com sexo, de 33 anos. Encaminhada para o Estudo Combina e para as Ferramentas do SUS;;
04/13/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;7;1;1;1;0;0;;;
04/14/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;2;0;0;0;0;0;;;
04/15/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;5;1;1;1;0;0;;;
04/16/2021;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;4;2;0;;;
04/17/2021;Instagram;10:30:00 AM;12:00:00 PM;01:30:00 AM;GSP;;0;0;0;0;0;1;0;1;Agendamento de Marcos Souza;;
04/19/2021;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;;;0;1;0;0;;;
04/19/2021;Reunião Educadories Par;04:00:00 PM;04:40:00 PM;12:40:00 AM;;;;;;;0;0;0;0;Reunião para alteração de forma de trabalho para modelo presencial.  (1h50m para repor);;
04/19/2021;Instagram;04:40:00 PM;06:00:00 PM;01:20:00 AM;GSP;;0;0;16;0;0;1;0;0;Contato ativo (1:20/2,5 para repor);;
04/20/2021;Reunião Intervenção Coletiva;11:00:00 AM;12:00:00 PM;01:00:00 AM;;;;;;;0;0;0;0;Alteração do roteiro para Reels;;
04/20/2021;Reunião Individual;12:00:00 PM;01:00:00 PM;01:00:00 AM;;;;;;;0;0;0;0;Reunião para compreensão e formalização do desligamento. ;;
04/20/2021;Instagram;01:00:00 PM;03:30:00 PM;02:30:00 AM;GSP;;0;0;14;0;0;0;0;0;Contato ativo ;;
04/20/2021;Reunião Geral;03:30:00 PM;06:30:00 PM;03:00:00 AM;;;0;0;0;0;0;0;0;0;(1h40, de reposição, 1h20 a mais a ser retirada de quinta)  ;;
04/21/2021;Feriado;01:00:00 PM;06:00:00 PM;05:00:00 AM;;;0;0;0;0;0;0;0;0;Usualmente são 3 horas de instagram e 2h de reunião de intervenção coletiva;;
04/22/2021;Intervenção Coletiva;09:00:00 AM;12:00:00 PM;03:00:00 AM;;;0;0;0;0;0;0;0;0;"Gravação do vídeo ""O que é ser um educador par?""";;
04/22/2021;Instagram;12:00:00 PM;01:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
04/23/2021;Instagram ;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;0;0;0;;;
04/24/2021;Instagram;0;0;0;GSP;;3;3;0;0;3;0;0;0;;;
04/25/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;0;0;0;;;
04/26/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
04/27/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;3;3;0;0;3;1;1;0;;;
04/28/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;3;3;0;0;3;2;1;0;;;
04/29/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
04/30/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;5;0;0;;;
05/01/2021;Instagram;0;0;0;GSP;;0;0;0;0;0;1;0;0;;;
05/03/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;5;0;0;;;
05/04/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
05/05/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;1;0;0;0;;;
05/06/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
05/07/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;3;1;0;0;;;
05/08/2021;Instagram;0;0;0;GSP;;3;3;0;0;2;0;0;0;;;
05/09/2021;Instagram;0;0;0;GSP;;2;2;0;0;0;0;0;0;;;
05/10/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;9;0;0;;;
05/11/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
05/12/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;2;0;0;;;
05/13/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
05/14/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;0;1;0;;;
05/15/2021;Instagram;0;0;0;GSP;;3;3;0;0;3;0;0;0;;;
05/17/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;8;0;0;;;
05/18/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
05/19/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;3;3;0;0;3;0;0;0;;;
05/20/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
05/21/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;2;2;2;0;1;0;;;
05/23/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;1;0;0;;;
05/24/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;4;4;0;0;4;7;1;0;;;
05/25/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;4;4;0;0;4;6;0;0;;;
05/26/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;2;0;0;;;
05/27/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;0;0;0;;;
05/28/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
05/29/2021;Instagram;0;0;0;GSP;;0;0;0;0;0;1;0;0;;;
05/30/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;1;1;0;;;
05/31/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;6;1;0;;;
06/01/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;0;0;0;;;
06/02/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
06/03/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
06/04/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;0;0;0;;;
06/07/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;0;0;0;;;
06/08/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
06/09/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
06/10/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
06/11/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;5;1;0;;;
06/12/2021;Instagram;0;0;0;GSP;;2;2;0;0;2;1;0;0;;;
06/14/2021;Instagram;06:30:00 PM;07:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;3;1;0;;;
06/15/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;6;6;0;0;0;1;3;0;;;
06/16/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;10;0;0;;;
06/17/2021;Instagram;11:00:00 AM;12:30:00 PM;01:30:00 AM;GSP;;0;0;0;0;0;3;0;2;;;
06/18/2021;Instagram;05:00:00 PM;06:30:00 PM;01:30:00 AM;GSP;;0;0;0;0;0;0;0;1;;;
06/19/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;1;0;0;;;
06/20/2021;Instagram;0;0;0;GSP;;0;0;0;0;0;0;0;0;;;
06/21/2021;Instagram;06:30:00 PM;07:30:00 PM;01:00:00 AM;GSP;;0;0;1;1;1;1;0;0;;;
06/22/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;1;1;0;0;0;2;0;0;;;
06/23/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;2;0;0;;;
06/24/2021;Instagram;;;;GSP;;1;1;0;0;1;2;0;0;;;
06/25/2021;Instagram;;;;GSP;;0;0;0;0;0;1;0;0;;;
06/26/2021;Instagram;;;;GSP;;0;0;0;0;0;0;0;0;;;
06/27/2021;Instagram;;;;GSP;;4;4;0;0;4;4;0;0;;;
06/28/2021;Instagram;;;;GSP;;2;2;0;0;2;4;0;0;;;
06/29/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
06/30/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;2;0;0;;;
07/01/2021;Instagram;;;;GSP;;0;0;0;0;0;3;0;0;;;
07/02/2021;Instagram;;;;GSP;;0;0;0;0;0;1;0;0;;;
07/03/2021;Instagram;;;;GSP;;0;0;0;0;0;0;0;0;;;
07/04/2021;Instagram;;;;GSP;;0;0;0;0;0;0;0;0;;;
07/05/2021;Instagram;;;;GSP;;0;0;0;0;0;1;0;0;;;
07/06/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
07/07/2021;Instagram;06:00:00 PM;06:30:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;2;1;1;;;
07/08/2021;Instagram;;;;GSP;;;;;;;;;;;;
07/12/2021;Instagram;06:44:00 PM;07:00:00 PM;;GSP;;0;0;0;0;1;1;1;1;Ele está em contato com Yago (educador par) para marcação de consulta. ;;
07/13/2021;Instagram;01:00:00 PM;02:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;0;1;1;;;
07/14/2021;Instagram;;;;GSP;;0;0;1;1;1;3;0;0;;;
07/15/2021;Instagram;;;;GSP;;1;1;0;0;1;2;0;0;;;
07/16/2021;Instagram;;;;GSP;;;;;;;;;;;;
07/17/2021;Instagram;;;;GSP;;;;;;;2;;;;;
07/18/2021;Instagram;;;;GSP;;;;;;;;;;;;
07/19/2021;Instagram;;;;GSP;;1;1;1;1;2;2;0;0;;;
07/20/2021;Instagram;;;;GSP;;1;1;0;0;1;1;;;;;
07/21/2021;Instagram;;;;GSP;;;;;;;1;;;;;
07/22/2021;Instagram;;;;GSP;;1;1;1;1;2;4;;;;;
07/23/2021;Instagram;;;;GSP;;;;;;;2;;;;;
07/24/2021;Instagram;;;;GSP;;1;1;0;0;1;2;;;;;
07/25/2021;Instagram;;;;GSP;;;;;;;;;;;;
07/26/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;0;0;3;2;2;2;;;;;
07/27/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;;;;;;
07/28/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;1;;;;;
07/29/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;1;1;1;1;;;;;
07/30/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;;;;;;;;;;;
07/31/2021;Instagram;;;;GSP;;;;;;;;;;;;
08/01/2021;Instagram;;;;GSP;;;;;;;;;;;;
08/02/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;2;;;;;
08/03/2021;Instagram;;;;GSP;;1;1;0;0;1;3;1;1;;;
08/04/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;2;;;;;
08/05/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;2;;;;;
08/06/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;;;;;;;;;;;
08/07/2021;Instagram;;;;GSP;;;;;;;1;;;;;
08/08/2021;Instagram;;;;GSP;;;;;;;;;;;;
08/09/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;;;;;;;;;;;
08/10/2021;Instagram;06:30:00 PM;08:00:00 PM;01:30:00 AM;GSP;;24;24;1;1;25;25;1;0;;;
08/11/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;2;2;;;2;4;;;;;
08/12/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;5;5;;;5;7;2;;;;
08/13/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;2;2;;;2;3;;;;;
08/14/2021;Instagram;;;;GSP;;1;1;;;1;1;;;;;
08/15/2021;Instagram;;;;GSP;;6;6;;;6;6;1;;;;
08/16/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;11;11;;;11;17;1;;;;
08/17/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;9;9;;;9;13;1;;;;
08/18/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;12;12;;;12;12;;;;;
08/19/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;13;13;;;13;17;1;;;;
08/20/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;3;3;;;3;11;;;;;
08/21/2021;Instagram;;;;GSP;;1;1;;;1;1;;;;;
08/22/2021;Instagram;;;;GSP;;3;3;;;3;3;;;;;
08/23/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;GSP;;2;2;;;2;18;;;;;
08/24/2021;Instagram;05:30:00 PM;07:00:00 PM;01:30:00 AM;;;2;2;1;1;3;4;;;;;
08/25/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;1;1;2;10;;;;;
08/26/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;;;1;4;;;;;
08/27/2021;Instagram;;;;;;1;1;;;1;2;;;;;
08/28/2021;Instagram;10:00:00 AM;12:00:00 PM;02:00:00 AM;;;3;3;;;3;5;3;3;;;
08/29/2021;Instagram;;;;;;2;2;;;2;3;;;;;
08/30/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;3;3;;;3;8;;;;;
08/31/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;3;3;;;2;10;;;;;
09/01/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;4;4;;;4;6;;;;;
09/02/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;;;;;;;;;;;
09/03/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;;;1;1;;;;;
09/04/2021;Instagram;10:00:00 AM;12:00:00 PM;02:00:00 AM;;;;;;;;;;;;;
09/05/2021;Instagram;;;;;;;;;;;1;;;;;
09/06/2021;Instagram;12:00:00 AM;12:00:00 AM;12:00:00 AM;;;;;;;;;;;;;
09/07/2021;Instagram;12:00:00 AM;12:00:00 AM;12:00:00 AM;;;1;1;;;1;1;;;;;
09/08/2021;Instagram;05:00:00 PM;07:00:00 PM;02:00:00 AM;;;;;3;3;3;9;;;;;
09/09/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;;;;;;6;;;;;
09/10/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;;;1;1;;;;;
09/11/2021;Instagram;10:00:00 AM;12:00:00 PM;02:00:00 AM;;;;;1;1;1;1;;;;;
09/12/2021;Instagram;;;;;;1;1;;;1;1;;;;;
09/13/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;2;2;1;1;3;3;;;;;
09/14/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;3;3;;;3;5;2;;;;
09/15/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;;;;;;8;;;;;
09/16/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;6;6;;;6;11;1;;;;
09/17/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;;;1;4;;;;;
09/18/2021;Instagram;10:00:00 AM;12:00:00 PM;02:00:00 AM;;;;;1;1;1;3;;;;;
09/19/2021;Instagram;;;;;;1;1;;;;1;;;;;
09/20/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;3;3;10;8;;8;;;;;
09/21/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;10;8;;15;;;;;
09/22/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;1;1;;8;;;;;
09/23/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;;;;;;10;;;;;
09/24/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;2;2;;;;5;;;;;
09/25/2021;Instagram;10:00:00 AM;12:00:00 PM;02:00:00 AM;;;;;1;1;;3;;;;;
09/26/2021;Instagram;;;;;;;;;;;5;;;;;
09/27/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;2;2;;;;8;;;;;
09/28/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;1;1;;;;8;;;;;
09/29/2021;Instagram;06:00:00 PM;07:00:00 PM;01:00:00 AM;;;;;9;2;;11;;;;;
;;;07:00:00 PM;;;;;;;;;;;;;;
