NOME DA CAMPANHA;ANO;INÍCIO;FIM;VALOR GASTO - FACEBOOK;VALOR GASTO - MESSENGER;VALOR GASTO - INSTAGRAM;VALOR TOTAL;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS
Envolvimento - semana 02;2020;04/23/2020;04/25/2020;0;0;59.97;59.97;Subscriptions and boosts;Social media;0;0;59.97;0;0;0
Envolvimento ;2020;04/23/2020;04/25/2020;0;0;2.37;2.37;Subscriptions and boosts;Social media;0;0;2.37;0;0;0
Programação 03;2020;04/30/2020;05/02/2020;0;0;142.63;142.63;Subscriptions and boosts;Social media;0;0;142.63;0;0;0
Semana 06;2020;05/29/2020;05/31/2020;0;0;50.3;50.3;Subscriptions and boosts;Social media;0;0;50.3;0;0;0
PrEP na fila do pão ;2020;06/08/2020;06/15/2020;24.07;0;242.43;266.5;Subscriptions and boosts;Social media;24.07;0;242.43;0;0;0
Colocação;2020;07/03/2020;07/10/2020;14.63;0;117.87;132.5;Subscriptions and boosts;Social media;14.63;0;117.87;0;0;0
Envolvimento 2;2020;07/18/2020;07/27/2020;0;0;336.22;336.22;Subscriptions and boosts;Social media;0;0;336.22;0;0;0
Live Lucy - Amanda 2.0;2020;07/30/2020;07/31/2020;10.81;0;89.19;100;Subscriptions and boosts;Social media;10.81;0;89.19;0;0;0
Vem de DM BB;2020;08/03/2020;08/10/2020;0;0;240;240;Subscriptions and boosts;Social media;0;0;240;0;0;0
Fale com a Amanda;2020;09/14/2020;09/21/2020;20.73;0;79.27;100;Subscriptions and boosts;Social media;20.73;0;79.27;0;0;0
PrEP  + prevenção ;2020;09/28/2020;10/05/2020;74.99;0;120.01;195;Subscriptions and boosts;Social media;74.99;0;120.01;0;0;0
Testagem ;2020;10/08/2020;10/14/2020;17.95;0;132.05;150;Subscriptions and boosts;Social media;17.95;0;132.05;0;0;0
Novinhas ;2020;11/09/2020;11/16/2020;0;0;110;110;Subscriptions and boosts;Social media;0;0;110;0;0;0
Novinhos;2020;10/20/2020;11/30/2020;47.6;0;102.4;150;Subscriptions and boosts;Social media;47.6;0;102.4;0;0;0
Menores de 18;2020;12/01/2020;01/01/2021;87.5;0;112.5;200;Subscriptions and boosts;Social media;87.5;0;112.5;0;0;0
Kit;2020;12/21/2020;01/04/2021;213.75;0;136.22;350;Subscriptions and boosts;Social media;213.75;0;136.22;0;0;0
Amanda Dezembro ;2020;12/11/2020;01/06/2021;253.23;0;164.77;400;Subscriptions and boosts;Social media;253.23;0;164.77;0;0;0
Novinho 2;2021;01/26/2021;02/02/2021;131.38;0;68.62;200;Subscriptions and boosts;Social media;131.38;0;68.62;0;0;0
Pep ;2021;02/09/2021;02/16/2021;73.82;0;38.18;112;Subscriptions and boosts;Social media;73.82;0;38.18;0;0;0
Vantagens Prep;2021;03/05/2021;03/15/2021;202.34;0;147.66;350;Subscriptions and boosts;Social media;202.34;0;147.66;0;0;0
Prep menores de 18;2021;03/15/2021;03/19/2021;0;0;250;250;Subscriptions and boosts;Social media;0;0;250;0;0;0
Pós Carnaval;2021;02/17/2021;03/24/2021;48.31;0;63.04;111.35;Subscriptions and boosts;Social media;48.31;0;63.04;0;0;0
Tome Prep Fevereiro;2021;02/23/2021;03/30/2021;0;0;74.38;74.38;Subscriptions and boosts;Social media;0;0;74.38;0;0;0
Vantagens Prep Abril;2021;04/12/2021;04/19/2021;132.55;0;117.45;250;Subscriptions and boosts;Social media;132.55;0;117.45;0;0;0
Bora Tomar Prep Abril;2021;04/22/2021;04/29/2021;178.85;66.78;0;250;Subscriptions and boosts;Social media;178.85;0;66.78;0;0;0
Os novinhos também podem;2021;05/06/2021;05/20/2021;0;0;300;300;Subscriptions and boosts;Social media;0;0;300;0;0;0
Vc já pensou;2021;05/24/2021;06/01/2021;247.64;0;103.36;350;Subscriptions and boosts;Social media;247.64;0;103.36;0;0;0
Tweet - Recrutamento;2021;06/21/2021;06/28/2021;71.58;0;178.42;250;Subscriptions and boosts;Social media;71.58;0;178.42;0;0;0
Espaço das Manas - Teste;2021;06/25/2021;06/28/2021;0;0;100;100;Subscriptions and boosts;Social media;0;0;100;0;0;0
Institucional;2021;07/01/2021;07/15/2021;67.88;0;32.12;100;Subscriptions and boosts;Social media;67.88;0;32.12;0;0;0
Só a Cabecinha - Prevenção;2021;06/15/2021;07/22/2021;62.75;0;23.85;86.6;Subscriptions and boosts;Social media;62.75;0;23.85;0;0;0
O que é o Prep 1519;2021;07/15/2021;07/22/2021;0;0;200;200;Subscriptions and boosts;Social media;0;0;200;0;0;0
Teste Anúncio Reels CT;2021;08/10/2021;08/17/2021;0;0;99.89;99.89;Subscriptions and boosts;Social media;0;0;99.89;0;0;0
Kit Semana 01;2021;08/10/2021;08/27/2021;14.43;0;22.37;36.8;Subscriptions and boosts;Social media;14.43;0;22.37;0;0;0
Kit Semana 02;2021;08/16/2021;08/28/2021;4.92;0;2.12;7.04;Subscriptions and boosts;Social media;4.92;0;2.12;0;0;0
O que é prep - Setembro 2021;2021;08/26/2021;08/31/2021;0;0;350;350;Subscriptions and boosts;Social media;0;0;350;0;0;0
Vc ta ligado no Prep 1519;2021;09/06/2021;09/13/2021;29.05;0;220.95;250;Subscriptions and boosts;Social media;29.05;0;220.95;0;0;0
Prevenção + Projeto;2021;09/13/2021;09/20/2021;118.65;0;131.35;250;Subscriptions and boosts;Social media;118.65;0;131.35;0;0;0
Fale com a Amanda 2;2021;09/20/2021;09/27/2021;250;0;0;250;Subscriptions and boosts;Social media;250;0;0;0;0;0
institucional Outubro;2021;10/25/2021;11/01/2021;148.49;0;351.51;500;Subscriptions and boosts;Social media;148.49;0;351.51;0;0;0
Prevenção Novembro;2021;11/22/2021;11/29/2021;0;0;250;250;Subscriptions and boosts;Social media;0;0;250;0;0;0
Kit Stories e Reels;2021;12/02/2021;12/09/2021;64.27;0;435.73;500;Subscriptions and boosts;Social media;64.27;0;435.73;0;0;0
Kit Dezembro Reels;2021;12/16/2021;12/21/2021;0;0;550;550;Subscriptions and boosts;Social media;0;0;550;0;0;0
