;;;VALORES ANUALIZADOS;;;;;
ANO;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS
2021;IT equipment;Speaker;0;0;0;0;0;104.803493449782
2021;IT equipment;Laptop;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646
2019;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2021;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105
2021;IT equipment;Smartphone;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2019;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2020;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2021;IT equipment;Laptop;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735;101.494905385735
2019;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2020;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2021;IT equipment;Laptop;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555;172.549126637555
2021;IT equipment;Laptop;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288;250.659388646288
2021;IT equipment;Laptop;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952;214.56768558952
2019;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2020;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2021;IT equipment;Laptop;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607;215.396288209607
2021;IT equipment;Laptop;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164;217.964701601164
2019;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2020;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2021;IT equipment;Laptop;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672;293.705240174672
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2020;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2021;IT equipment;Modem;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213;6.54657933042213
2020;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
2021;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
2021;IT equipment;SIM cards;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856;1.09170305676856
0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0
